child,parent
DB11606,B02BD14
DB00959,D07AA01
DB00959,D10AA02
DB00959,H02AB04
DB00959,S01CA08
DB00959,H02BX01
DB00959,D07CA02
DB06262,C01CA27
DB00963,S01BC11
DB15149,L01EN04
DB08862,V04CK02
DB06207,G04CA04
DB08868,L04AA27
DB06203,A10BD13
DB06203,A10BD09
DB06203,A10BH04
DB08865,L01ED01
DB00900,J05AF02
DB00903,C03CC01
DB00908,C01BA71
DB00908,C01BA01
DB00908,C01BA51
DB00909,G01AE10
DB00909,N03AX15
DB08871,L01XX41
DB06217,C01BG11
DB08877,L01EJ01
DB08875,L01EX07
DB00910,H05BX02
DB08885,S01LA05
DB08885,L01XX44
DB03193,Drug
DB08882,A10BD19
DB08882,A10BD27
DB08882,A10BD11
DB08882,A10BH05
DB08888,S01XA22
DB00925,C04AX02
DB00924,M03BX08
DB11672,Drug
DB14700,Drug
DB14707,L01FF06
DB11689,L01EE04
DB01401,Drug
DB01403,N05AA02
DB01407,R03CC13
DB01407,R03AC14
DB01407,R03CC63
DB11693,L04AD03
DB14723,L01EX12
DB11697,L01EJ03
DB14724,L04AA39
DB01419,Drug
DB01418,B01AA07
DB09301,M01AX25
DB11626,L03AX11
DB06273,L04AC07
DB00973,C10BA02
DB00973,C10AX09
DB00973,C10BA10
DB00973,C10BA11
DB00973,C10BA05
DB00973,C10BA12
DB00973,C10BA06
DB11632,N04BX04
DB12965,D08AL30
DB06287,L01EG01
DB11633,J02AC05
DB11638,P01BF05
DB11638,P01BE05
DB11639,M05BC01
DB00988,C01CA04
DB11641,L01CA05
DB12978,L01EX15
DB00991,M01AE12
DB00995,M01CB03
DB09329,Drug
DB00993,L04AX01
DB00997,L01DB01
DB11652,L01EH03
DB09336,Drug
DB09332,Drug
DB09330,L01EB04
DB02701,A11HA01
DB00132,Drug
DB00130,A16AA03
DB00136,A11CC04
DB00136,D05AX03
DB00135,Drug
DB00143,V03AB32
DB00142,A09AB01
DB00145,B05CX03
DB00146,A11CC06
DB00146,H05BX05
DB00153,A11CC01
DB00159,Drug
DB00156,Drug
DB00157,Drug
DB12147,L01EN01
DB00163,Drug
DB00169,A11CC05
DB00169,M05BB05
DB00169,M05BB03
DB00169,M05BB04
DB00169,M05BB07
DB00169,M05BB08
DB00169,M05BB09
DB00169,A11CC55
DB00169,M05BX53
DB12141,L01EX13
DB14738,Drug
DB01427,C01CE01
DB01426,C01BA05
DB01430,R07AB07
DB00100,Drug
DB01435,S02DA03
DB01435,N02BB01
DB01435,N02BB51
DB01435,N02BB71
DB00105,L03AB05
DB01436,A11CC03
DB01436,M05BB06
DB14751,H01AC05
DB00110,J06BD01
DB02772,Drug
DB00114,A11HA06
DB00112,L01FG01
DB00112,S01LA08
DB00118,A16AA02
DB00119,Drug
DB14762,L04AC18
DB00121,A11HA05
DB00120,Drug
DB00126,A11GA01
DB00126,G01AD03
DB00126,S01XA15
DB00126,A11GB01
DB00123,B05XB03
DB00123,V03AF11
DB00129,A05BA06
DB00128,Drug
DB08931,C02KX05
DB15233,L01EX18
DB03255,R02AA19
DB03255,N01BX03
DB03255,C05BB05
DB03255,D08AE03
DB15248,J05AX28
DB12159,D11AH05
DB00173,Drug
DB00170,B02BA02
DB00174,Drug
DB00175,C10BX02
DB00175,C10BA11
DB00175,C10BA12
DB00175,C10AA03
DB00175,C10BA03
DB12169,D11AH07
DB04540,Drug
DB00181,M03BX01
DB08904,L04AB05
DB08901,L01EA05
DB08908,L04AX07
DB00192,Drug
DB00198,J05AH02
DB08912,L01EC02
DB05889,L01FB01
DB00197,A10BG01
DB08910,L04AX06
DB08911,L01EE01
DB08916,L01EB03
DB06366,L01FD02
DB06366,L01XY02
DB11714,L01FF03
DB06372,L04AC04
DB11718,L01EC03
DB11730,L01EF02
DB08995,C05CA03
DB08995,C05CA53
DB06335,A10BD25
DB06335,A10BD21
DB06335,A10BH03
DB06335,A10BD10
DB05015,L01XH04
DB11791,L01EX17
DB11793,L01XK02
DB13501,S01BC07
DB13501,M02AA11
DB14840,L01EX19
DB14845,L04AA45
DB00201,R03DA20
DB00201,N06BC01
DB00201,V04CG30
DB00201,D11AX26
DB00206,C02AA02
DB00206,C02LA71
DB00206,C02LA01
DB00206,C02AA52
DB00206,C02LA51
DB00204,C01BD04
DB09422,Drug
DB11760,L01XK04
DB11767,L04AC14
DB11771,Drug
DB05099,B01AD09
DB00252,N03AB02
DB00252,N03AB52
DB01592,A11AA01
DB01592,B03AE04
DB01592,B03AE03
DB01592,B03AE01
DB01592,B03AE02
DB01590,L04AA18
DB01590,L01EG02
DB01593,C05AX04
DB00266,B01AA01
DB00276,L01XX01
DB00279,H03AA02
DB00279,H03AA03
DB00277,R03DA74
DB00277,R03DA20
DB00277,R03DA04
DB00277,R03DB04
DB00277,R03DA54
DB12267,L01ED04
DB00282,M05BA03
DB00280,C01BA03
DB00281,S02DA01
DB00281,N01BB52
DB00281,C01BB01
DB00281,S01HA07
DB00281,C05AD01
DB00281,R02AD02
DB00281,N01BB02
DB00281,D04AB01
DB00288,D07AC11
DB00210,D10AD03
DB00210,D10AD53
DB00211,C01CA17
DB14864,S01LA06
DB00227,C10BA01
DB00227,C10AA02
DB00233,J04AA02
DB00233,J04AA01
DB00233,J04AA03
DB00242,L01BB04
DB00242,L04AA40
DB00243,C01EB18
DB00244,A07EC02
DB00248,N04BC06
DB00248,G02CB03
DB06404,B06AC01
DB06410,H05BX03
DB16695,L01FX18
DB16694,L04AA54
DB12274,N06DX03
DB15303,Drug
DB00298,S01EX02
DB04657,Drug
DB16650,L04AA56
DB14004,L04AC17
DB11823,N06AX27
DB11823,N01AX14
DB11817,L04AA37
DB11834,L04AC16
DB11828,L01EH02
DB09517,Drug
DB11800,L01EK03
DB01628,M01AH05
DB13615,L03AX15
DB01632,Drug
DB00307,L01XF03
DB00313,N03AG01
DB00316,N02AJ01
DB00316,N02AJ13
DB00316,N02AJ17
DB00316,N02BE51
DB00316,N02BE71
DB00316,N02BE01
DB00316,N02AJ06
DB00317,L01EB01
DB14967,Drug
DB00323,N04BX01
DB00321,N06AA09
DB00321,N06CA01
DB00328,M01AB01
DB00328,S01CC02
DB00328,C01EB03
DB00328,S01BC01
DB00328,M02AA23
DB00328,M01AB51
DB09559,L01FE03
DB11886,L01EN03
DB01600,M01AE11
