node	type
5931	gene
91875	gene
22919	gene
830	gene
8883	gene
6786	gene
58533	gene
6642	gene
11103	gene
150684	gene
8563	gene
80145	gene
9984	gene
6711	gene
6709	gene
7919	gene
10189	gene
11340	gene
2966	gene
865	gene
3184	gene
23481	gene
23246	gene
84292	gene
1975	gene
1793	gene
7027	gene
1447	gene
55802	gene
8301	gene
84656	gene
1639	gene
1778	gene
1974	gene
9646	gene
2017	gene
23770	gene
2582	gene
30849	gene
23118	gene
10284	gene
9584	gene
8314	gene
3710	gene
4077	gene
9221	gene
9820	gene
23397	gene
10328	gene
9694	gene
56851	gene
9861	gene
9733	gene
9918	gene
79753	gene
9343	gene
8803	gene
6472	gene
3735	gene
3921	gene
9869	gene
10714	gene
7458	gene
84916	gene
23160	gene
29126	gene
5339	gene
10464	gene
5818	gene
4841	gene
9135	gene
10102	gene
114971	gene
5093	gene
8651	gene
6294	gene
9747	gene
9531	gene
5510	gene
9871	gene
10483	gene
80349	gene
6499	gene
6760	gene
7014	gene
7045	gene
7247	gene
2592	gene
57707	gene
9587	gene
7205	gene
1832	gene
9341	gene
7791	gene
7408	gene
597	gene
6432	gene
54583	gene
8290	gene
4698	gene
4704	gene
7360	gene
7296	gene
7164	gene
10989	gene
23244	gene
26007	gene
5205	gene
92609	gene
112936	gene
170954	gene
56850	gene
140735	gene
9924	gene
55165	gene
51144	gene
65263	gene
54520	gene
170622	gene
284695	gene
538	gene
51248	gene
6687	gene
9873	gene
93380	gene
284361	gene
55831	gene
55183	gene
56254	gene
25959	gene
49856	gene
9662	gene
9474	gene
55054	gene
23310	gene
29781	gene
23313	gene
151987	gene
84975	gene
55596	gene
23644	gene
112714	gene
221927	gene
51061	gene
23367	gene
253260	gene
23098	gene
64795	gene
57610	gene
9524	gene
201562	gene
23218	gene
85440	gene
286077	gene
348093	gene
333932	gene
80789	gene
55656	gene
11093	gene
92140	gene
27044	gene
3028	gene
54931	gene
22907	gene
10480	gene
56257	gene
64708	gene
50484	gene
5000	gene
57020	gene
10260	gene
10516	gene
201161	gene
1822	gene
167691	gene
79228	gene
30850	gene
51599	gene
79660	gene
9454	gene
9847	gene
23085	gene
84282	gene
56262	gene
55749	gene
7469	gene
51497	gene
117246	gene
10250	gene
10367	gene
221154	gene
27043	gene
57521	gene
57805	gene
26259	gene
222484	gene
55037	gene
23089	gene
257397	gene
79576	gene
540	gene
51548	gene
51280	gene
51637	gene
25940	gene
8495	gene
26505	gene
9711	gene
26574	gene
25983	gene
23345	gene
1861	gene
163590	gene
57187	gene
Q8NI35	gene
56997	gene
57146	gene
81930	gene
29922	gene
55624	gene
253980	gene
55722	gene
23549	gene
51074	gene
644	gene
9039	gene
3613	gene
57650	gene
83692	gene
145282	gene
91754	gene
10783	gene
10969	gene
55299	gene
55616	gene
25929	gene
56288	gene
84959	gene
115752	gene
4733	gene
55854	gene
91782	gene
257364	gene
25839	gene
23256	gene
84126	gene
23185	gene
23212	gene
10513	gene
10607	gene
5819	gene
10342	gene
5654	gene
2968	gene
10443	gene
8148	gene
11169	gene
2648	gene
